"Date","Region","Amount"
"2024-11-27","West","3865.54"
"2024-11-09","West","789.18"
"2024-07-12","North","445.33"
"2024-10-05","East","3439.12"
"2024-09-17","East","2164.85"
"2024-03-16","South","4580.44"
"2024-05-31","West","422.19"
"2024-01-18","West","324.28"
"2024-05-30","East","1222.49"
"2024-01-05","West","961.54"
"2024-04-18","North","4574.82"
"2024-11-22","West","3170.61"
"2024-09-30","East","4476.76"
"2024-02-29","North","938.59"
"2024-09-28","East","4242.75"
"2024-08-02","East","4842.97"
"2024-08-21","West","3577.11"
"2024-02-18","South","3196.71"
"2024-02-29","South","4420.64"
"2024-09-21","West","1590.27"
"2024-11-29","North","1959.18"
"2024-11-23","West","1814.89"
"2024-10-08","South","4535.34"
"2024-10-17","West","3209.3"
"2024-01-08","West","4164.96"
"2024-11-23","West","1939.21"
"2024-03-14","South","257.81"
"2024-04-05","West","4891.23"
"2024-06-19","East","4886.01"
"2024-04-12","North","2071.56"
"2024-09-29","East","4001.03"
"2024-08-03","West","762.93"
"2024-10-16","South","3234.39"
"2024-06-30","South","1501.61"
"2024-01-23","South","4107.14"
"2024-01-28","East","2596.77"
"2024-10-20","West","2828.93"
"2024-07-04","North","3141.77"
"2024-04-09","North","795.29"
"2024-05-26","West","1573.32"
"2024-05-16","West","548.85"
"2024-07-03","East","2208.86"
"2024-11-02","West","4991.43"
"2024-09-11","East","2329.12"
"2024-09-26","North","123.66"
"2024-09-30","East","2703.21"
"2024-02-28","West","349.4"
"2024-06-19","West","2359.38"
"2024-11-05","East","2567.28"
"2024-03-05","West","3046.53"
"2024-12-29","West","2158.29"
"2024-05-04","East","1727.63"
"2024-03-12","North","3985.39"
"2024-05-21","East","3431.6"
"2024-07-06","East","907.29"
"2024-02-07","South","4106.04"
"2024-08-13","North","2315.26"
"2024-08-11","East","282.73"
"2024-04-01","South","139.83"
"2024-08-18","North","4075.72"
"2024-12-05","North","663.17"
"2024-05-25","North","3592.75"
"2024-01-13","West","2954.69"
"2024-09-03","North","3228.07"
"2024-09-27","South","857.09"
"2024-05-15","South","1916.62"
"2024-04-18","North","2391.95"
"2024-09-08","North","3977.76"
"2024-02-24","West","827.6"
"2024-05-20","East","1159.34"
"2024-04-28","North","4522.67"
"2024-12-25","West","2910.52"
"2024-07-25","East","2095.36"
"2024-06-14","East","1932.83"
"2024-03-26","South","4872.82"
"2024-10-24","South","2398.03"
"2024-11-19","South","4755.75"
"2024-08-21","West","4578.35"
"2024-05-05","East","607.85"
"2024-04-28","East","1658.8"
"2024-07-25","North","1606.62"
"2024-05-14","West","4940.16"
"2024-09-26","South","1629.13"
"2024-07-31","South","4223.46"
"2024-12-18","South","3413.82"
"2024-02-04","West","3119.08"
"2024-10-26","West","2601.33"
"2024-09-05","West","1131.03"
"2024-04-07","North","1225.9"
"2024-12-27","North","1176.34"
"2024-06-20","East","4346.79"
"2024-02-02","South","2133.72"
"2024-01-25","South","3013.86"
"2024-12-26","East","666.1"
"2024-02-27","West","456.73"
"2024-02-09","North","2499.84"
"2024-03-27","East","3970.47"
"2024-06-27","North","4569.58"
"2024-10-22","South","845.34"
"2024-02-05","East","3343.63"
"2024-10-04","North","682.26"
"2024-02-03","East","2866.37"
"2024-12-22","South","4788.15"
"2024-04-05","East","2953.89"
"2024-01-08","South","1362.26"
"2024-05-24","North","1070.85"
"2024-02-20","East","162.65"
"2024-09-27","South","2001.23"
"2024-06-06","South","3702.54"
"2024-12-15","West","113.81"
"2024-04-06","South","3864.25"
"2024-12-07","East","1720.75"
"2024-12-30","East","1035.17"
"2024-07-05","East","4017.25"
"2024-07-14","South","1191.75"
"2024-03-16","West","3408.19"
"2024-08-27","West","1874.92"
"2024-12-15","South","4720.44"
"2024-08-25","East","4981.26"
"2024-09-24","North","730.01"
"2024-10-30","East","3005.6"
"2024-12-15","South","382.29"
"2024-10-25","East","3053.88"
"2024-12-05","West","2344.56"
"2024-01-03","North","215.69"
"2024-03-19","East","3895.38"
"2024-03-01","East","2630.33"
"2024-01-22","West","4356.85"
"2024-08-22","West","149.33"
"2024-10-29","West","1130.2"
"2024-05-02","West","2069.18"
"2024-01-23","North","656.16"
"2024-03-16","North","4892.7"
"2024-03-01","West","1948.57"
"2024-01-27","North","170.87"
"2024-11-26","South","1717.34"
"2024-12-02","West","4073.83"
"2024-03-22","North","2257.64"
"2024-08-12","South","3629.56"
"2024-09-22","West","3477.83"
"2024-01-18","South","4045.74"
"2024-05-23","North","748.56"
"2024-01-21","South","4757.43"
"2024-11-29","East","3177.01"
"2024-10-18","East","4162.35"
"2024-02-20","South","2904.08"
"2024-11-08","North","1875.08"
"2024-09-05","South","4253.67"
"2024-05-26","East","3531.28"
"2024-12-17","West","4557.02"
"2024-05-23","West","1401.91"
"2024-04-15","East","2081.11"
"2024-07-28","North","763.79"
"2024-11-18","South","108.29"
"2024-05-18","East","2201.83"
"2024-03-07","West","2871.51"
"2024-08-11","West","3929.46"
"2024-02-24","South","2926.91"
"2024-04-29","West","506.78"
"2024-12-16","South","2448.42"
"2024-06-07","East","2525.03"
"2024-01-15","North","2670.86"
"2024-05-12","North","4423.52"
"2024-06-04","North","1609.41"
"2024-06-08","South","4453.55"
"2024-05-11","West","4493.84"
"2024-06-02","East","3470.4"
"2024-02-19","West","4887.58"
"2024-02-16","East","3100.11"
"2024-09-09","South","3775.54"
"2024-04-27","North","3463.3"
"2024-08-28","West","3791.15"
"2024-07-04","West","2512.29"
"2024-11-26","South","4595.41"
"2024-09-07","East","4538.96"
"2024-06-22","North","4499.1"
"2024-09-08","South","428.88"
"2024-03-09","North","3907.78"
"2024-10-16","West","3747.57"
"2024-07-08","South","1431.81"
"2024-11-29","North","2775.67"
"2024-02-18","East","4768.19"
"2024-08-15","South","2658.65"
"2024-02-19","South","4812.6"
"2024-05-28","North","2037.83"
"2024-10-08","West","902.22"
"2024-01-27","North","2715.92"
"2024-09-18","East","4976.16"
"2024-09-06","East","470.53"
"2024-11-28","South","847.51"
"2024-01-04","South","2186.63"
"2024-03-21","South","821.62"
"2024-05-15","North","507.13"
"2024-12-14","South","4660.27"
"2024-05-17","North","652.43"
"2024-02-08","South","219.35"
"2024-05-19","East","4245.73"
"2024-07-31","West","1365.35"
"2024-09-27","East","3398.44"
"2024-07-20","West","4845.52"
"2024-11-17","North","4587.58"
"2024-05-15","East","4337.73"
"2024-07-15","East","2660.66"
"2024-03-31","West","4511.77"
